"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"VBL",32,471.58,471.65,15090.58,15092.8,2.22,0.01,0,""
"VEDL",4,284.95,705.65,1139.8,2822.6,1682.8,147.64,0,""
"VGUARD",15,345.7,316.5,5185.55,4747.5,-438.05,-8.45,0,""
"VIPIND",10,369.12,341.85,3691.15,3418.5,-272.65,-7.39,0,""
"VOLTAS",3,1154.65,1330.6,3463.95,3991.8,527.85,15.24,0,""
"VRLLOG",11,285.74,258,3143.1,2838,-305.1,-9.71,0,""
"WAAREEENER",10,2722.11,2695.2,27221.05,26952,-269.05,-0.99,0,""
"WAAREERTL",3,970.53,889.3,2911.6,2667.9,-243.7,-8.37,0,""
"WIPRO",35,243.82,235,8533.64,8225,-308.64,-3.62,0,""
"ZENTEC",3,1649.63,1279.9,4948.9,3839.7,-1109.2,-22.41,0,""
"ZYDUSLIFE",1,934.7,893.45,934.7,893.45,-41.25,-4.41,0,""
